instance_id,family,n,alpha,num_processors_total,max_required_processors_per_job,max_jobs_per_processor,mean_jobs_per_processor,bpc_status,bpc_gap_pct,bpc_time_seconds,included_in_main_study,included_in_ablation_30,included_in_sensitivity_30,included_in_hard_tail_70
B_n120_012_a50_035,B,120,0.5,55,,12,4.36,optimal,0.0,2.5,True,False,False,False
B_n120_012_a75_036,B,120,0.75,55,,12,4.36,optimal,0.0,4.2,True,False,False,False
B_n120_013_a25_037,B,120,0.25,55,,10,4.36,incumbent,0.07,721.0,True,False,False,False
B_n120_013_a50_038,B,120,0.5,55,,10,4.36,optimal,0.0,2.5,True,False,False,False
B_n120_013_a75_039,B,120,0.75,55,,10,4.36,optimal,0.0,4.2,True,False,False,False
B_n120_014_a25_040,B,120,0.25,55,,10,4.36,incumbent,0.07,721.0,True,False,False,True
B_n120_014_a50_041,B,120,0.5,55,,10,4.36,optimal,0.0,2.5,True,False,False,False
B_n120_014_a75_042,B,120,0.75,55,,10,4.36,optimal,0.0,4.2,True,False,False,False
B_n120_015_a25_043,B,120,0.25,55,,10,4.44,incumbent,0.07,721.0,True,False,False,False
B_n120_015_a50_044,B,120,0.5,55,,10,4.44,optimal,0.0,2.5,True,False,False,False
B_n120_015_a75_045,B,120,0.75,55,,10,4.44,optimal,0.0,4.2,True,False,False,False
B_n130_016_a25_046,B,130,0.25,55,,13,4.73,incumbent,0.01,720.6,True,False,False,True
B_n130_016_a50_047,B,130,0.5,55,,13,4.73,incumbent,0.06,1445.3,True,False,False,False
B_n130_016_a75_048,B,130,0.75,55,,13,4.73,incumbent,0.61,1449.9,True,False,False,False
B_n130_017_a25_049,B,130,0.25,55,,13,4.73,incumbent,0.01,720.6,True,False,False,True
B_n130_017_a50_050,B,130,0.5,55,,13,4.73,incumbent,0.06,1445.3,True,False,False,False
B_n130_017_a75_051,B,130,0.75,55,,13,4.73,incumbent,0.61,1449.9,True,False,False,False
B_n130_018_a25_052,B,130,0.25,55,,11,4.73,incumbent,0.01,720.6,True,False,False,False
B_n130_018_a50_053,B,130,0.5,55,,11,4.73,incumbent,0.06,1445.3,True,False,False,False
B_n130_018_a75_054,B,130,0.75,55,,11,4.73,incumbent,0.61,1449.9,True,False,False,False
B_n130_019_a25_055,B,130,0.25,55,,10,4.73,incumbent,0.01,720.6,True,False,False,True
B_n130_019_a50_056,B,130,0.5,55,,10,4.73,incumbent,0.06,1445.3,True,False,False,False
B_n130_019_a75_057,B,130,0.75,55,,10,4.73,incumbent,0.61,1449.9,True,False,False,False
B_n130_020_a25_058,B,130,0.25,55,,10,4.81,incumbent,0.01,720.6,True,False,False,False
B_n130_020_a50_059,B,130,0.5,55,,10,4.81,incumbent,0.06,1445.3,True,False,False,False
B_n130_020_a75_060,B,130,0.75,55,,10,4.81,incumbent,0.61,1449.9,True,False,False,False
B_n140_021_a25_061,B,140,0.25,55,,13,5.09,not_reported,,,True,True,True,True
B_n140_021_a50_062,B,140,0.5,55,,13,5.09,not_reported,,,True,False,False,False
B_n140_021_a75_063,B,140,0.75,55,,13,5.09,not_reported,,,True,False,False,False
B_n140_022_a25_064,B,140,0.25,55,,13,5.09,not_reported,,,True,False,False,False
B_n140_022_a50_065,B,140,0.5,55,,13,5.09,not_reported,,,True,False,False,False
B_n140_022_a75_066,B,140,0.75,55,,13,5.09,not_reported,,,True,False,False,False
B_n140_023_a25_067,B,140,0.25,55,,12,5.09,not_reported,,,True,False,False,True
B_n140_023_a50_068,B,140,0.5,55,,12,5.09,not_reported,,,True,False,False,False
B_n140_023_a75_069,B,140,0.75,55,,12,5.09,not_reported,,,True,False,False,False
B_n140_024_a25_070,B,140,0.25,55,,10,5.09,not_reported,,,True,False,False,True
B_n140_024_a50_071,B,140,0.5,55,,10,5.09,not_reported,,,True,False,False,False
B_n140_024_a75_072,B,140,0.75,55,,10,5.09,not_reported,,,True,False,False,False
B_n140_025_a25_073,B,140,0.25,55,,10,5.19,not_reported,,,True,False,False,False
B_n140_025_a50_074,B,140,0.5,55,,10,5.19,not_reported,,,True,False,False,False
B_n140_025_a75_075,B,140,0.75,55,,10,5.19,not_reported,,,True,False,False,False
B_n150_026_a25_076,B,150,0.25,55,,13,5.45,not_reported,,,True,False,False,True
B_n150_026_a50_077,B,150,0.5,55,,13,5.45,not_reported,,,True,True,True,False
B_n150_026_a75_078,B,150,0.75,55,,13,5.45,not_reported,,,True,False,False,False
B_n150_027_a25_079,B,150,0.25,55,,13,5.45,not_reported,,,True,False,False,False
B_n150_027_a50_080,B,150,0.5,55,,13,5.45,not_reported,,,True,False,False,False
B_n150_027_a75_081,B,150,0.75,55,,13,5.45,not_reported,,,True,False,False,False
B_n150_028_a25_082,B,150,0.25,55,,12,5.45,not_reported,,,True,False,False,True
B_n150_028_a50_083,B,150,0.5,55,,12,5.45,not_reported,,,True,False,False,False
B_n150_028_a75_084,B,150,0.75,55,,12,5.45,not_reported,,,True,False,False,False
B_n150_029_a25_085,B,150,0.25,55,,11,5.45,not_reported,,,True,False,False,False
B_n150_029_a50_086,B,150,0.5,55,,11,5.45,not_reported,,,True,False,False,False
B_n150_029_a75_087,B,150,0.75,55,,11,5.45,not_reported,,,True,False,False,False
B_n150_030_a25_088,B,150,0.25,55,,11,5.45,not_reported,,,True,False,False,False
B_n150_030_a50_089,B,150,0.5,55,,11,5.45,not_reported,,,True,False,False,False
B_n150_030_a75_090,B,150,0.75,55,,11,5.45,not_reported,,,True,False,False,False
C_n050_001_a25_001,C,50,0.25,55,,7,2.78,not_reported,,,True,True,True,False
C_n050_001_a50_002,C,50,0.5,55,,7,2.78,not_reported,,,True,False,False,False
C_n050_001_a75_003,C,50,0.75,55,,7,2.78,not_reported,,,True,False,False,False
C_n050_002_a25_004,C,50,0.25,55,,6,2.83,not_reported,,,True,False,False,False
C_n050_002_a50_005,C,50,0.5,55,,6,2.83,not_reported,,,True,False,False,False
C_n050_002_a75_006,C,50,0.75,55,,6,2.83,not_reported,,,True,False,False,False
C_n050_003_a25_007,C,50,0.25,55,,7,3.0,not_reported,,,True,False,False,False
C_n050_003_a50_008,C,50,0.5,55,,7,3.0,not_reported,,,True,False,False,False
C_n050_003_a75_009,C,50,0.75,55,,7,3.0,not_reported,,,True,False,False,False
C_n050_004_a25_010,C,50,0.25,55,,6,2.94,not_reported,,,True,False,False,False
C_n050_004_a50_011,C,50,0.5,55,,6,2.94,not_reported,,,True,False,False,False
C_n050_004_a75_012,C,50,0.75,55,,6,2.94,not_reported,,,True,False,False,False
C_n050_005_a25_013,C,50,0.25,55,,6,2.88,not_reported,,,True,False,False,False
C_n050_005_a50_014,C,50,0.5,55,,6,2.88,not_reported,,,True,False,False,False
C_n050_005_a75_015,C,50,0.75,55,,6,2.88,not_reported,,,True,False,False,False
C_n055_006_a25_016,C,55,0.25,55,,7,3.06,optimal,0.0,0.0,True,False,False,False
C_n055_006_a50_017,C,55,0.5,55,,7,3.06,optimal,0.0,1.4,True,False,False,False
C_n055_006_a75_018,C,55,0.75,55,,7,3.06,optimal,0.0,0.0,True,False,False,False
C_n055_007_a25_019,C,55,0.25,55,,6,3.11,optimal,0.0,0.0,True,False,False,False
C_n055_007_a50_020,C,55,0.5,55,,6,3.11,optimal,0.0,1.4,True,False,False,False
C_n055_007_a75_021,C,55,0.75,55,,6,3.11,optimal,0.0,0.0,True,False,False,False
C_n055_008_a25_022,C,55,0.25,55,,8,3.3,optimal,0.0,0.0,True,False,False,False
C_n055_008_a50_023,C,55,0.5,55,,8,3.3,optimal,0.0,1.4,True,False,False,False
C_n055_008_a75_024,C,55,0.75,55,,8,3.3,optimal,0.0,0.0,True,False,False,False
C_n055_009_a25_025,C,55,0.25,55,,6,3.24,optimal,0.0,0.0,True,False,False,False
C_n055_009_a50_026,C,55,0.5,55,,6,3.24,optimal,0.0,1.4,True,False,False,False
C_n055_009_a75_027,C,55,0.75,55,,6,3.24,optimal,0.0,0.0,True,False,False,False
C_n055_010_a25_028,C,55,0.25,55,,6,3.11,optimal,0.0,0.0,True,False,False,False
C_n055_010_a50_029,C,55,0.5,55,,6,3.11,optimal,0.0,1.4,True,False,False,False
C_n055_010_a75_030,C,55,0.75,55,,6,3.11,optimal,0.0,0.0,True,False,False,False
C_n060_011_a25_031,C,60,0.25,55,,7,3.33,optimal,0.0,0.0,True,False,False,False
C_n060_011_a50_032,C,60,0.5,55,,7,3.33,optimal,0.0,0.4,True,True,True,False
C_n060_011_a75_033,C,60,0.75,55,,7,3.33,optimal,0.0,0.0,True,False,False,False
C_n060_012_a25_034,C,60,0.25,55,,9,3.4,optimal,0.0,0.0,True,False,False,False
C_n060_012_a50_035,C,60,0.5,55,,9,3.4,optimal,0.0,0.4,True,False,False,False
C_n060_012_a75_036,C,60,0.75,55,,9,3.4,optimal,0.0,0.0,True,False,False,False
C_n060_013_a25_037,C,60,0.25,55,,8,3.53,optimal,0.0,0.0,True,False,False,False
C_n060_013_a50_038,C,60,0.5,55,,8,3.53,optimal,0.0,0.4,True,False,False,False
C_n060_013_a75_039,C,60,0.75,55,,8,3.53,optimal,0.0,0.0,True,False,False,False
C_n060_014_a25_040,C,60,0.25,55,,7,3.46,optimal,0.0,0.0,True,False,False,False
C_n060_014_a50_041,C,60,0.5,55,,7,3.46,optimal,0.0,0.4,True,False,False,False
C_n060_014_a75_042,C,60,0.75,55,,7,3.46,optimal,0.0,0.0,True,False,False,False
C_n060_015_a25_043,C,60,0.25,55,,7,3.33,optimal,0.0,0.0,True,False,False,False
C_n060_015_a50_044,C,60,0.5,55,,7,3.33,optimal,0.0,0.4,True,False,False,False
C_n060_015_a75_045,C,60,0.75,55,,7,3.33,optimal,0.0,0.0,True,False,False,False
C_n065_016_a25_046,C,65,0.25,55,,8,3.61,optimal,0.0,0.0,True,False,False,False
C_n065_016_a50_047,C,65,0.5,55,,8,3.61,incumbent,0.01,720.9,True,False,False,False
C_n065_016_a75_048,C,65,0.75,55,,8,3.61,optimal,0.0,1.2,True,True,True,False
C_n065_017_a25_049,C,65,0.25,55,,9,3.68,optimal,0.0,0.0,True,False,False,False
C_n065_017_a50_050,C,65,0.5,55,,9,3.68,incumbent,0.01,720.9,True,False,False,False
C_n065_017_a75_051,C,65,0.75,55,,9,3.68,optimal,0.0,1.2,True,False,False,False
C_n065_018_a25_052,C,65,0.25,55,,9,3.82,optimal,0.0,0.0,True,False,False,False
C_n065_018_a50_053,C,65,0.5,55,,9,3.82,incumbent,0.01,720.9,True,False,False,False
C_n065_018_a75_054,C,65,0.75,55,,9,3.82,optimal,0.0,1.2,True,False,False,False
C_n065_019_a25_055,C,65,0.25,55,,8,3.68,optimal,0.0,0.0,True,False,False,False
C_n065_019_a50_056,C,65,0.5,55,,8,3.68,incumbent,0.01,720.9,True,False,False,False
C_n065_019_a75_057,C,65,0.75,55,,8,3.68,optimal,0.0,1.2,True,False,False,False
C_n065_020_a25_058,C,65,0.25,55,,9,3.61,optimal,0.0,0.0,True,False,False,False
C_n065_020_a50_059,C,65,0.5,55,,9,3.61,incumbent,0.01,720.9,True,False,False,False
C_n065_020_a75_060,C,65,0.75,55,,9,3.61,optimal,0.0,1.2,True,False,False,False
C_n070_021_a25_061,C,70,0.25,55,,8,3.89,optimal,0.0,0.1,True,True,True,False
C_n070_021_a50_062,C,70,0.5,55,,8,3.89,incumbent,0.08,721.9,True,False,False,False
C_n070_021_a75_063,C,70,0.75,55,,8,3.89,optimal,0.0,1.6,True,False,False,False
C_n070_022_a25_064,C,70,0.25,55,,10,3.96,optimal,0.0,0.1,True,False,False,False
C_n070_022_a50_065,C,70,0.5,55,,10,3.96,incumbent,0.08,721.9,True,False,False,True
C_n070_022_a75_066,C,70,0.75,55,,10,3.96,optimal,0.0,1.6,True,False,False,False
C_n070_023_a25_067,C,70,0.25,55,,10,3.96,optimal,0.0,0.1,True,False,False,True
C_n070_023_a50_068,C,70,0.5,55,,10,3.96,incumbent,0.08,721.9,True,False,False,False
C_n070_023_a75_069,C,70,0.75,55,,10,3.96,optimal,0.0,1.6,True,False,False,False
C_n070_024_a25_070,C,70,0.25,55,,8,3.89,optimal,0.0,0.1,True,False,False,False
C_n070_024_a50_071,C,70,0.5,55,,8,3.89,incumbent,0.08,721.9,True,False,False,False
C_n070_024_a75_072,C,70,0.75,55,,8,3.89,optimal,0.0,1.6,True,False,False,False
C_n070_025_a25_073,C,70,0.25,55,,9,3.89,optimal,0.0,0.1,True,False,False,False
C_n070_025_a50_074,C,70,0.5,55,,9,3.89,incumbent,0.08,721.9,True,False,False,False
C_n070_025_a75_075,C,70,0.75,55,,9,3.89,optimal,0.0,1.6,True,False,False,False
C_n075_026_a25_076,C,75,0.25,55,,9,4.17,not_reported,,,True,False,False,False
C_n075_026_a50_077,C,75,0.5,55,,9,4.17,not_reported,,,True,False,False,False
C_n075_026_a75_078,C,75,0.75,55,,9,4.17,not_reported,,,True,False,False,False
C_n075_027_a25_079,C,75,0.25,55,,11,4.25,not_reported,,,True,False,False,False
C_n075_027_a50_080,C,75,0.5,55,,11,4.25,not_reported,,,True,False,False,False
C_n075_027_a75_081,C,75,0.75,55,,11,4.25,not_reported,,,True,False,False,False
C_n075_028_a25_082,C,75,0.25,55,,11,4.25,not_reported,,,True,False,False,False
C_n075_028_a50_083,C,75,0.5,55,,11,4.25,not_reported,,,True,False,False,False
C_n075_028_a75_084,C,75,0.75,55,,11,4.25,not_reported,,,True,False,False,False
C_n075_029_a25_085,C,75,0.25,55,,9,4.17,not_reported,,,True,False,False,False
C_n075_029_a50_086,C,75,0.5,55,,9,4.17,not_reported,,,True,False,False,False
C_n075_029_a75_087,C,75,0.75,55,,9,4.17,not_reported,,,True,False,False,False
C_n075_030_a25_088,C,75,0.25,55,,10,4.09,not_reported,,,True,False,False,False
C_n075_030_a50_089,C,75,0.5,55,,10,4.09,not_reported,,,True,False,False,False
C_n075_030_a75_090,C,75,0.75,55,,10,4.09,not_reported,,,True,False,False,False
C_n080_031_a25_091,C,80,0.25,55,,9,4.36,not_reported,,,True,False,False,False
C_n080_031_a50_092,C,80,0.5,55,,9,4.36,not_reported,,,True,True,True,False
C_n080_031_a75_093,C,80,0.75,55,,9,4.36,not_reported,,,True,False,False,False
C_n080_032_a25_094,C,80,0.25,55,,11,4.53,not_reported,,,True,False,False,False
C_n080_032_a50_095,C,80,0.5,55,,11,4.53,not_reported,,,True,False,False,False
C_n080_032_a75_096,C,80,0.75,55,,11,4.53,not_reported,,,True,False,False,False
C_n080_033_a25_097,C,80,0.25,55,,11,4.53,not_reported,,,True,False,False,False
C_n080_033_a50_098,C,80,0.5,55,,11,4.53,not_reported,,,True,False,False,False
C_n080_033_a75_099,C,80,0.75,55,,11,4.53,not_reported,,,True,False,False,False
C_n080_034_a25_100,C,80,0.25,55,,9,4.36,not_reported,,,True,False,False,False
C_n080_034_a50_101,C,80,0.5,55,,9,4.36,not_reported,,,True,False,False,False
C_n080_034_a75_102,C,80,0.75,55,,9,4.36,not_reported,,,True,False,False,False
C_n080_035_a25_103,C,80,0.25,55,,10,4.36,not_reported,,,True,False,False,False
C_n080_035_a50_104,C,80,0.5,55,,10,4.36,not_reported,,,True,False,False,False
C_n080_035_a75_105,C,80,0.75,55,,10,4.36,not_reported,,,True,False,False,False
D_n040_001_a25_001,D,40,0.25,55,,6,3.14,not_reported,,,True,True,True,False
D_n040_001_a50_002,D,40,0.5,55,,6,3.14,not_reported,,,True,False,False,False
D_n040_001_a75_003,D,40,0.75,55,,6,3.14,not_reported,,,True,False,False,False
D_n040_002_a25_004,D,40,0.25,55,,6,3.08,not_reported,,,True,False,False,False
D_n040_002_a50_005,D,40,0.5,55,,6,3.08,not_reported,,,True,False,False,False
D_n040_002_a75_006,D,40,0.75,55,,6,3.08,not_reported,,,True,False,False,False
D_n040_003_a25_007,D,40,0.25,55,,6,3.08,not_reported,,,True,False,False,False
D_n040_003_a50_008,D,40,0.5,55,,6,3.08,not_reported,,,True,False,False,False
D_n040_003_a75_009,D,40,0.75,55,,6,3.08,not_reported,,,True,False,False,False
D_n040_004_a25_010,D,40,0.25,55,,6,3.2,not_reported,,,True,False,False,False
D_n040_004_a50_011,D,40,0.5,55,,6,3.2,not_reported,,,True,False,False,False
D_n040_004_a75_012,D,40,0.75,55,,6,3.2,not_reported,,,True,False,False,False
D_n040_005_a25_013,D,40,0.25,55,,6,2.91,not_reported,,,True,False,False,False
D_n040_005_a50_014,D,40,0.5,55,,6,2.91,not_reported,,,True,False,False,False
D_n040_005_a75_015,D,40,0.75,55,,6,2.91,not_reported,,,True,False,False,False
D_n045_006_a25_016,D,45,0.25,55,,8,3.53,optimal,0.0,0.0,True,False,False,False
D_n045_006_a50_017,D,45,0.5,55,,8,3.53,optimal,0.0,0.0,True,False,False,False
D_n045_006_a75_018,D,45,0.75,55,,8,3.53,optimal,0.0,0.0,True,False,False,False
D_n045_007_a25_019,D,45,0.25,55,,6,3.46,optimal,0.0,0.0,True,False,False,False
D_n045_007_a50_020,D,45,0.5,55,,6,3.46,optimal,0.0,0.0,True,False,False,False
D_n045_007_a75_021,D,45,0.75,55,,6,3.46,optimal,0.0,0.0,True,False,False,False
D_n045_008_a25_022,D,45,0.25,55,,7,3.46,optimal,0.0,0.0,True,False,False,False
D_n045_008_a50_023,D,45,0.5,55,,7,3.46,optimal,0.0,0.0,True,False,False,False
D_n045_008_a75_024,D,45,0.75,55,,7,3.46,optimal,0.0,0.0,True,False,False,False
D_n045_009_a25_025,D,45,0.25,55,,7,3.6,optimal,0.0,0.0,True,False,False,False
D_n045_009_a50_026,D,45,0.5,55,,7,3.6,optimal,0.0,0.0,True,False,False,False
D_n045_009_a75_027,D,45,0.75,55,,7,3.6,optimal,0.0,0.0,True,False,False,False
D_n045_010_a25_028,D,45,0.25,55,,7,3.27,optimal,0.0,0.0,True,False,False,False
D_n045_010_a50_029,D,45,0.5,55,,7,3.27,optimal,0.0,0.0,True,False,False,False
D_n045_010_a75_030,D,45,0.75,55,,7,3.27,optimal,0.0,0.0,True,False,False,False
D_n050_011_a25_031,D,50,0.25,55,,8,3.92,optimal,0.0,0.0,True,False,False,False
D_n050_011_a50_032,D,50,0.5,55,,8,3.92,optimal,0.0,0.0,True,True,True,False
D_n050_011_a75_033,D,50,0.75,55,,8,3.92,optimal,0.0,0.6,True,False,False,False
D_n050_012_a25_034,D,50,0.25,55,,7,3.77,optimal,0.0,0.0,True,False,False,False
D_n050_012_a50_035,D,50,0.5,55,,7,3.77,optimal,0.0,0.0,True,False,False,False
D_n050_012_a75_036,D,50,0.75,55,,7,3.77,optimal,0.0,0.6,True,False,False,False
D_n050_013_a25_037,D,50,0.25,55,,7,3.77,optimal,0.0,0.0,True,False,False,False
D_n050_013_a50_038,D,50,0.5,55,,7,3.77,optimal,0.0,0.0,True,False,False,False
D_n050_013_a75_039,D,50,0.75,55,,7,3.77,optimal,0.0,0.6,True,False,False,False
D_n050_014_a25_040,D,50,0.25,55,,7,3.92,optimal,0.0,0.0,True,False,False,False
D_n050_014_a50_041,D,50,0.5,55,,7,3.92,optimal,0.0,0.0,True,False,False,False
D_n050_014_a75_042,D,50,0.75,55,,7,3.92,optimal,0.0,0.6,True,False,False,False
D_n050_015_a25_043,D,50,0.25,55,,8,3.64,optimal,0.0,0.0,True,False,False,False
D_n050_015_a50_044,D,50,0.5,55,,8,3.64,optimal,0.0,0.0,True,False,False,False
D_n050_015_a75_045,D,50,0.75,55,,8,3.64,optimal,0.0,0.6,True,False,False,False
D_n055_016_a25_046,D,55,0.25,55,,9,4.31,optimal,0.0,0.0,True,False,False,False
D_n055_016_a50_047,D,55,0.5,55,,9,4.31,optimal,0.0,4.0,True,False,False,False
D_n055_016_a75_048,D,55,0.75,55,,9,4.31,optimal,0.0,6.3,True,False,False,False
D_n055_017_a25_049,D,55,0.25,55,,7,4.07,optimal,0.0,0.0,True,False,False,False
D_n055_017_a50_050,D,55,0.5,55,,7,4.07,optimal,0.0,4.0,True,False,False,False
D_n055_017_a75_051,D,55,0.75,55,,7,4.07,optimal,0.0,6.3,True,False,False,False
D_n055_018_a25_052,D,55,0.25,55,,9,4.15,optimal,0.0,0.0,True,False,False,False
D_n055_018_a50_053,D,55,0.5,55,,9,4.15,optimal,0.0,4.0,True,False,False,False
D_n055_018_a75_054,D,55,0.75,55,,9,4.15,optimal,0.0,6.3,True,False,False,False
D_n055_019_a25_055,D,55,0.25,55,,7,4.31,optimal,0.0,0.0,True,False,False,True
D_n055_019_a50_056,D,55,0.5,55,,7,4.31,optimal,0.0,4.0,True,False,False,False
D_n055_019_a75_057,D,55,0.75,55,,7,4.31,optimal,0.0,6.3,True,False,False,False
D_n055_020_a25_058,D,55,0.25,55,,8,4.0,optimal,0.0,0.0,True,False,False,False
D_n055_020_a50_059,D,55,0.5,55,,8,4.0,optimal,0.0,4.0,True,False,False,False
D_n055_020_a75_060,D,55,0.75,55,,8,4.0,optimal,0.0,6.3,True,False,False,False
D_n060_021_a25_061,D,60,0.25,55,,9,4.71,optimal,0.0,0.3,True,False,False,False
D_n060_021_a50_062,D,60,0.5,55,,9,4.71,incumbent,0.11,1378.3,True,False,False,False
D_n060_021_a75_063,D,60,0.75,55,,9,4.71,incumbent,0.12,730.7,True,True,True,False
D_n060_022_a25_064,D,60,0.25,55,,9,4.44,optimal,0.0,0.3,True,False,False,False
D_n060_022_a50_065,D,60,0.5,55,,9,4.44,incumbent,0.11,1378.3,True,False,False,True
D_n060_022_a75_066,D,60,0.75,55,,9,4.44,incumbent,0.12,730.7,True,False,False,False
D_n060_023_a25_067,D,60,0.25,55,,9,4.44,optimal,0.0,0.3,True,False,False,False
D_n060_023_a50_068,D,60,0.5,55,,9,4.44,incumbent,0.11,1378.3,True,False,False,False
D_n060_023_a75_069,D,60,0.75,55,,9,4.44,incumbent,0.12,730.7,True,False,False,False
D_n060_024_a25_070,D,60,0.25,55,,9,4.62,optimal,0.0,0.3,True,False,False,False
D_n060_024_a50_071,D,60,0.5,55,,9,4.62,incumbent,0.11,1378.3,True,False,False,False
D_n060_024_a75_072,D,60,0.75,55,,9,4.62,incumbent,0.12,730.7,True,False,False,False
D_n060_025_a25_073,D,60,0.25,55,,10,4.36,optimal,0.0,0.3,True,False,False,False
D_n060_025_a50_074,D,60,0.5,55,,10,4.36,incumbent,0.11,1378.3,True,False,False,False
D_n060_025_a75_075,D,60,0.75,55,,10,4.36,incumbent,0.12,730.7,True,False,False,False
D_n065_026_a25_076,D,65,0.25,55,,9,5.0,not_reported,,,True,False,False,False
D_n065_026_a50_077,D,65,0.5,55,,9,5.0,not_reported,,,True,False,False,False
D_n065_026_a75_078,D,65,0.75,55,,9,5.0,not_reported,,,True,False,False,False
D_n065_027_a25_079,D,65,0.25,55,,9,4.81,not_reported,,,True,False,False,False
D_n065_027_a50_080,D,65,0.5,55,,9,4.81,not_reported,,,True,False,False,True
D_n065_027_a75_081,D,65,0.75,55,,9,4.81,not_reported,,,True,False,False,False
D_n065_028_a25_082,D,65,0.25,55,,9,4.81,not_reported,,,True,False,False,True
D_n065_028_a50_083,D,65,0.5,55,,9,4.81,not_reported,,,True,False,False,False
D_n065_028_a75_084,D,65,0.75,55,,9,4.81,not_reported,,,True,False,False,False
D_n065_029_a25_085,D,65,0.25,55,,9,4.91,not_reported,,,True,False,False,False
D_n065_029_a50_086,D,65,0.5,55,,9,4.91,not_reported,,,True,False,False,False
D_n065_029_a75_087,D,65,0.75,55,,9,4.91,not_reported,,,True,False,False,False
D_n065_030_a25_088,D,65,0.25,55,,11,4.73,not_reported,,,True,False,False,True
D_n065_030_a50_089,D,65,0.5,55,,11,4.73,not_reported,,,True,False,False,True
D_n065_030_a75_090,D,65,0.75,55,,11,4.73,not_reported,,,True,False,False,False
D_n070_031_a25_091,D,70,0.25,55,,10,5.38,not_reported,,,True,True,True,False
D_n070_031_a50_092,D,70,0.5,55,,10,5.38,not_reported,,,True,False,False,False
D_n070_031_a75_093,D,70,0.75,55,,10,5.38,not_reported,,,True,False,False,False
D_n070_032_a25_094,D,70,0.25,55,,10,5.19,not_reported,,,True,False,False,True
D_n070_032_a50_095,D,70,0.5,55,,10,5.19,not_reported,,,True,False,False,True
